"TITLE";"ID";"YEAR";"CITCOM";"MODEL";"TYPE";"TEMPSCALE";"SPATSCALE";"METHODO";"EQU";"THEME";"CASE";"DISCIPLINE";"PROCESSES";"OBSERVATION";"LINK"
"Measuring one century of railway accessibility and population change in France. A historical GIS approach";"7622033396544392224";"2016";"7";"yes";"territory";"0";"country";"stat";"NA";"accessibility";"France";"geography";;;
"A design framework for measuring transit oriented development";"445792216820660267";"2012";"11";"no";;;;;;;;"planning";;;
"The first rapid tram line in Poland: How has it affected travel behaviours, housing choices and satisfaction, and apartment prices?";"10078298850924605114";"2016";"2";"yes";"territory";"0";"local";"stat";"NA";"housing market";"Poland";"geography";;;
"Road accessibility and articulation of metropolitan spatial structures: the case of Madrid (Spain)";"12899701503277395253";"2014";"8";"yes";"territory";"0";"metro";"map";"NA";"accessibility";"Madrid";"geography";;;
"Transport Infrastructure and Economic Development: which appropriation dynamics by productive actors? The example of the grain industry around the Seine-Nord …";"16637072282439359652";"2013";"3";"no";;;;;;;;"economics";;;
"Assessment of the real estate benefits due to accessibility gains brought by a transport project: the impacts of a light rail infrastructure improvement in the Hauts-de- …";"14886177128541959623";"2008";"3";"yes";"territory";"0";"local";"stat";"NA";"housing market";"Paris, T2";"economics";;;
" Les Contrats de développement territorial (CDT) du Grand Paris: une négociation multi-échelles de l'articulation urbanisme-transport?";"8740454109057095118";"2013";"9";"no";;;;;;;;"planning";;;
" Exploring the patterns and evolution of self-organized urban street networks through modeling";"10255964865764430406";"2013";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"physics";"local optimization,local geometry,topology";;
"Modeling the Effects of Transportation Patterns on Land Use Patterns of Tehran City.";"9518089914377834733";"2013";"7";"yes";"territory";"0";"metro";"stat";"NA";"land use";"Teheran";"planning";;;
" The local economic impacts of high-speed railways: theories and facts";"12366312687492587951";"2017";"3";"no";;;;;;;;"transportation";;;
" La contribution des infrastructures au développement des régions françaises";"12345915354692581373";"1999";"10";"yes";"territory";"0";"region";"stat";"NA";"infrastructure";"France";"economics";;;
" Analyse des relations transports/évolution de la banlieue dense de paris";"2101423446043485986";"2010";"3";"no";;;;;;;;"transportation";;;
"Measuring the effect of transportation infrastructure on retail firm co-location patterns";"8280771800704141276";"2016";"2";"yes";"territory";"0";"metro";"stat,eq";"NA";"infrastructure";;"economics";;;
"On the spatiotemporal dynamics of the coupling between land use and road networks: does political history matter?";"16479176245494201907";"2015";"7";"yes";"territory";"50";"region";"stat";"NA";"network analysis";"Italy";"geography";"political history";;
" Transport matters: integrated approaches to planning city-regions";"14333326070268278875";"2010";"2";"no";;;;;;;;"planning";;;
" L'approche des relations entre infrastructures et territoires: retours sur la théorie et les méthodes";"2436229954033414021";;"3";"no";;;;;;;;"planning";;;
" Coordonner transports et urbanisme";"12823766073675392003";"2003";"9";"no";;;;;;;;"planning";;;
"Accessibility appraisal of integrated land-use—transport strategies: methodology and case study for the Netherlands Randstad Area";"7690021570706365887";"2006";"8";"yes";"territory";"35";"local";"stat";"NA";"accessibility";"Netherlands";"planning";;;
"Evidences of communicating vessels principle in an integrated land-use and transport modeling application";"3787537872016820793";"2016";"7";"yes";"territory";"NA";"metro";"sim";"no";"luti";;"planning";;;
" Dessertes ferroviaires à grande vitesse et dynamiques locales: une analyse comparée de la littérature";"18052422388088318887";;"3";"no";;;;;;;;"transportation";;;
"Hysteresis and urban rail: The effects of past urban rail on current residential and travel choices";"14081854133547226397";"2012";"12";"yes";"territory";"150";"metro";"stat";"NA";"history";"Boston";"transportation";;;
" Impact of high-speed railway accessibility on the location choices of office establishments";"11621380524756347661";"2006";"11";"no";;;;;;;;"transportation";;;
" Urban Road Network Evolution to Maximize the Capacity";"12516749824028037592";"2014";"12";"yes";"network";"NA";"metro";"sim";"no";"nework growth";;"physics";"investment,network capacity";;
"20 Co-evolutionary dynamics of ports and cities in the global maritime network, 1950–90";"1094095821803938537";"2015";"12";"hs";;;;;;;;"geography";;;
"Accessibility in cities: transport and urban form";"12885554056401383465";"2017";"7";"yes";"territory";"0";"metro";"stat";"NA";"accessibility";;"economics";;;
"Development of a virtual city model for urban land use and transport planning";"10316589728495760672";"2016";"7";"no";;;;;;;;"planning";;;
"Time Evolution of Road Networks";"6724452877162375479";"2015";"12";"no";;;;;;;;"physics";;;
" L'évolution des marchés immobiliers résidentiels dans l'aire urbaine de Reims: un effet de la Ligne à Grande Vitesse Est-européenne?";"15137179612344278716";"2007";"7";"no";;;;;;;;"economics";;;
" Les nouvelles gares TGV périphériques: des instruments au service du développement économique des territoires?";"12958578885756122534";"2012";"3";"no";;;;;;;;"economics";;;
"Introduction to the special issue on the evolution of transportation network infrastructure";"14782048312595880386";"2009";"12";"no";;;;;;;;"economics";;;
" Land use around metro stations: A case study";"13721683633893541767";"2012";"7";"no";;;;;;;;"planning";;;
"Accessibility impacts of tod experiences in European metropolitan areas";"3849280211612921884";"2014";"8";"yes";"territory";"0";"metro";"stat";"NA";"accessibility";;"planning";;;
"Forecasting Transportation Network Evolution and Performance under Existing and Alternative Transportation Planning Processes";"953634491880055155";"2011";"12";"yes";"network";"NA";"metro";"mas";"no";"nework growth";"US";"transportation";"investment,governance level";;
" Measuring Transit Oriented Development";"5419623782940175896";"2013";"11";"yes";"territory";"0";"region";"stat";"NA";"accessibility";"Netherlands";"geography";;;
"A network governance approach to transit-oriented development: Integrating urban transport and land use policies in Urumqi, China";"9284884965506661913";"2016";"11";"no";;;;;;;;"transportation";"transportation governance";;
" De l'impact du TGV sur deux quartiers de gare: Nancy Grand Coeur et Metz Amphithéâtre";"8014623785041430436";"2010";"3";"no";;;;;;;;"geography";;;
"The Spatial Effects of High Speed Rail on Intermediate Cities in China–A Case Study of Beijing-Shanghai Express Railway";"13272499523585687676";"2014";"11";"no";;;;;;;;"transportation";;;
"Development of rail infrastructure and its impact on urbanization in the Randstad, the Netherlands";"9380287044365237791";"2015";"7";"yes";"strong";"160";"region";"stat";"NA";"coevolution";"Randstad";"transportation";;;
" Validation of a microscopic model for spatial economic effects of transport infrastructure";"10246938733795535598";"2007";"2";"yes";"territory";"25";"metro";"mas";"no";"microeconomics";"Netherlands";"transportation";"firm relocation";;
"Topological evolution of surface transportation networks";"15049090676952779807";"2009";"12";"yes";"network";"100";"region";"sim";"no";"nework growth";"Indiana";"economics";;;
"Population-driven urban road evolution dynamic model";"10072997421255555785";"2016";"12";"yes";"network";"NA";"metro";"sim";"no";"nework growth";;"economics";"Population-driven network growth";;
"Lignes ferroviaires à grande vitesse et dynamiques locales: une analyse comparée de la littérature";"16696467751522576373";"2010";"3";"no";;;;;;;;"geography";;;
" Infrastructures de transport, densification et étalement urbains: quelques enseignements de l'expérience nantaise";"17998228171206049481";"2007";"3";"no";;;;;;;;"transportation";;;
" A temporal GIS for exploring land use and transportation interactions";"13511767142643578713";;"7";"no";;;;;;;;"geography";;;
"Modeling the growth of transportation networks: a comprehensive review";"15601704195970669873";"2009";"12";"review";;;;;;;;"economics";;;
"Understanding road network dynamics: Link-based topological patterns";"8547422887510478727";"2015";"12";"hs";;;;;;;;"geography";;;
"Les gares TGV dans les zones périurbaines des villes moyennes sont-elles des vecteurs de métropolisation?";"2329873677295852805";"2012";"3";"no";;;;;;;;"geography";;;
" Exploring land use and transport interaction through structural equation modelling";"15105548367120422804";"2012";"7";"yes";"territory";"0";"metro";"sem";"NA";"stat";;"transportation";;;
" Functional-spatial sustainability potentials of integrated infrastructure planning";"13530799405573833349";"2012";"11";"no";;;;;;;;"transportation";"multi-level governance";;
"Modeling evolutionary network of Shanghai urban subway";"8390963711564537568";"2013";"12";"yes";"network";"NA";"metro";"stat";"NA";"network analysis";"Shanghai";"engineering";;;
" Impacts on land use characteristics from ferry replacement projects. Two case studies from Norway";"9347079883600562795";"2015";"7";"yes";"territory";"0";"region";"stat";"NA";"accessibility";"Norway";"transportation";;;
"Emergence of hierarchy in cost-driven growth of spatial networks";"10466953992640710718";"2013";"12";"yes";"network";"NA";"region";"sim";"no";"network growth";;"physics";;;
"Urban growth modeling with road network expansion and land use development";"12650947384305951979";"2011";"7";"yes";"strong";"NA";"metro";"sim";"no";"coevolution";;"geography";;;
"A model of the rise and fall of roads";"12450184136848850546";"2016";"12";"yes";"network";"30";"metro";"sim";"no";"nework growth";"Twin Cities";"economics";;;
"Spatio-temporal forecasting of network data";"3601196884232352607";"2014";"12";"hs";;;;;;;;"transportation";;;
"Assessing High-Speed Rail's impacts on land cover change in large urban areas based on spatial mixed logit methods: a case study of Madrid Atocha railway station …";"4131658970777699342";"2014";"8";"yes";"territory";"20";"metro";"stat";"NA";"accessibility";"Madrid";"geography";;;
"City expansion model based on population diffusion and road growth";"16345815595110240774";"2017";"12";"yes";"strong";"NA";"metro";"ca,sim";"no";"coevolution";"Beijing";"transportation";;;
"High-speed rail's impact on the location of office employment within the Dutch Randstad Area";"8248154335477891105";"2005";"2";"yes";"territory";"0";"metro";"stat";"NA";"hsr";"Randstad";"economics";;;
"STUDI: a model to simulate the impacts of new metro lines on urban development in London";"2594962844150527673";"2010";"2";"yes";"territory";"20";"metro";"sim";"no";"luti";"London";"planning";;;
" Les stratégies d'anticipation des «effets» territoriaux des grands équipements de transport: le cas du TGV Rhin-Rhône";"6403245246114331635";"2013";"3";"no";;;;;;;;"geography";;;
"The impact of transport on residential location";"10500191054399019184";"2003";"7";"yes";"territory";"0";"metro";"stat";"NA";"housing market";"Oxford";"economics";;;
"Quantifying the economic and demographic impact of transportation infrastructure investments: A simulation study";"9309297609623551020";"2016";"8";"yes";"territory";"10";"region";"sd";"no";"luti";"Virginia";"engineering";;;
" Simulating infrastructure networks in the Yangtze River Delta (China) using generative urban network models";"6325732133565702628";"2016";"12";"yes";"network";"0";"region";"sim";"no";"nework growth";"Yangtze";"geography";;;
"Computational Modeling of Networked Infrastructures: Macroscopic Multivariate Approach";"6226271279826913185";"2016";"12";"hs";;;;;;;;"engineering";;;
"Balancing building and maintenance costs in growing transport networks";"5976460068571547857";"2016";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"physics";"network maintenance";;
"Proximité aux infrastructures et croissance de l'emploi en Île-de-France (1993–2008): le rôle des transports à l'échelle intramétropolitaine";"14436183171925967523";"2012";"3";"yes";"territory";"15";"metro";"stat";"NA";"infrastructure";"Paris";"transportation";;;
" Analyser les mobilités et le rayonnement des villes pour révéler les effets territoriaux des grandes infrastructures de transport";"13700207924043005873";"1998";"3";"no";;;;;;;;"transportation";;;
" Land use and transport interaction";"4601203362291315402";"2015";"7";"review";;;;;;;;"planning";;;
" Transport and land use interaction: A French case of suburban development in the Lille Metropolitan Area (LMA)";"14281071046327149112";"2014";"7";"no";;;;;;;;"geography";;;
"Integrating land-use and transport infrastructure planning: towards adaptive and sustainable transport infrastructure";"5608357364609047162";"2014";"11";"no";;;;;;;;"planning";;;
"Estimation and validation of a microscopic model for spatial economic effects of transport infrastructure";"13098463390129995760";"2009";"2";"yes";"territory";"15";"region";"sim";"no";"microeconomics";"Randstad";"economics";;;
"Grande vitesse ferroviaire et développement économique local: une revue de la littérature";"7525631845009811949";"2011";"3";"no";;;;;;;;"transportation";;;
"Land-use transport interaction models";"16129325634725850094";"2014";"7";"review";;;;;;;;"planning";;;
"Fitting Planar Proximity Graphs on Real Street Networks";"9039878276619336605";"2016";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"physics";;;
" Patterns and grammars for transport network generation";"9665071086377166905";"2010";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"transportation";;;
"Space evolution model and empirical analysis of an urban public transport network";"7045171621225464890";"2012";"12";"yes";"network";"0";"metro";"sim";"no";"network growth";"China";"physics";;;
"Analysis on evolving model with modular growth of urban roadway network topology structure";"5000116661849661568";"2015";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"transportation";;;
"Models of transportation and land use change: a guide to the territory";"5191349362201911636";"2008";"7";"review";;;;;;;;"planning";;;
" The structuring effects of transport infrastructure";"15876443439074491379";;"3";"review";;;;;;;;"geography";;"special issue l'Espace Geo";
"Bi-level cellular agent-based model: Simulation of potential impacts of high-speed rail on land cover change in the Lisbon Metropolitan Area, Portugal";"1534774004977570803";"2015";"8";"yes";"territory";"20";"metro";"mas";"no";"hsr";"Lisbon";"transportation";;;
" Ligne à Grande Vitesse et marchés immobiliers résidentiels à Reims: entre attractivité, aménités et anticipations";"1681166553113938354";"2010";"3";"no";;;;;;;;"economics";;;
" Réseau routier national et développement économique régional: une approche par fonction de production revisitée";"9351699538187187490";"2008";"3";"yes";"territory";"0";"country";"stat";"NA";"economic growth";"France";"economics";;;
"Croissance et décroissance des réseaux";"5482910779522545809";"2014";"5";"review";;;;;;;;"geography";;;
"Les villes dans l'espace-temps: vitesse des communications et structuration des territoires à l'échelle intra et interurbaine";"12578422881285893687";"2005";"5";"no";;;;;;;;"geography";;;
"Should any new light rail line provide real estate gains, or not? The case of the T3 line in Paris";"8196681432737851317";"2015";"7";"yes";"territory";"0";"local";"stat";"NA";"housing market";"Paris, T3";"economics";;;
"Long-term impacts of transport infrastructure networks on land-use change: an international review of empirical studies";"1821937939085780479";"2016";"7";"review";;;;;;;;"transportation";;;
"The co-evolution of land use and road networks";"4920442333449600615";;"12";"yes";"strong";"NA";"metro";"sim";"no";"coevolution";;"economics";;;
"Rail-based public transport and urban spatial structure: The interplay between network design, congestion and urban form";"1657458344343870183";"2015";"11";"yes";"territory";"NA";"region";"eq";"yes";"tod";;"economics";;;
" Structure and dynamics of transportation networks: Models";"4529244200457214506";"2013";"12";"no";;;;;;;;"geography";;;
" Development of an integrated transport-land use model for the activities relocation in urban areas";"9738981332437076638";"2014";"7";"yes";"territory";"NA";"metro";"sim";"no";"luti";"Roma";"transportation";;;
"Population change and accessibility by road and rail networks: GIS and statistical approach to Finland 1970–2007";"13330779955118745051";"2011";"8";"yes";"territory";"35";"country";"stat";"NA";"accessibility";"Finland";"geography";;;
" Modélisation de l'interaction transport-urbanisme-choix résidentiels des ménages dans l'aire urbaine de Lyon";"5605752058287937946";"2009";"7";"yes";"territory";"NA";"metro";"stat";"NA";"luti";"Lyon";"economics";;;
"Contribution de la future ligne ferroviaire à grande vitesse Tours-Bordeaux au développement des réseaux des villes, une évaluation par le potentiel de contact";"11533753142801840067";"2014";"3";"yes";"territory";"0";"continent";"map";"NA";"hsr";"Europe";"geography";;;
"Spatial economic impacts of transport infrastructure supply";"9341831984796026101";"1994";"2";"review";;;;;;;;"transportation";;;
" Le rôle des grandes infrastructures dans la structuration des espaces régionaux: le cas de l'arrivée du TGV dans le réseau métropolitain Rhin-Rhône";"14649896289701474616";"2010";"3";"no";;;;;;;;"geography";;;
" A tool for evaluating urban sustainability via integrated transportation and land use simulation models";"6321073651892093498";"2009";"7";"yes";"territory";"NA";"metro";"sim";"no";"luti";"Canada";"geography";;;
"The integrated land use and transportation indexing model: assessing the sustainability of the Gold Coast, Australia";"6440169709286967754";"2012";"7";"no";;;;;;;;"planning";;;
"High speed Rail service and local economic development, a review";"16093197702627847070";"2010";"3";"review";;;;;;;;"economics";;;
"An empirical analysis of the relationship between road development and residential land development";"10458511107152517781";"2005";"2";"yes";"strong";"25";"metro";"stat";"NA";"causal stats";"Canada";"economics";;;
"Does the tunnel effect still remains in 2016?";"10738864039748889406";"2016";"2";"no";;;;;;;;"economics";;;
"Transport infrastructures and employment growth in the Paris metropolitan margins";"6584762621142783847";"2013";"3";"yes";"territory";"25";"metro";"stat";"NA";"economic growth";"Paris";"geography";;;
" Towards an Agent-based, Integrated Land-use Transport Modeling System";"6652958539764071087";"2016";"7";"yes";"territory";"NA";"region";"sim";"no";"luti";"US";"transportation";;;
" Interaction of rail infrastructure and urbanisation in the Netherlands; a preliminary analysis";"15413807339531757372";;"7";"no";;;;;;;;"geography";;;
"Un scénario tod pour la région nord-pas-de-calais. Enseignements d'une modélisation intégrée transport-usage du sol";"15529062511553929860";"2014";"7";"yes";"territory";"NA";"region";"sim";"no";"luti";"Nord";"planning";;;
"Distributive effects of new highway infrastructure in the Netherlands: the role of network effects and spatial spillovers";"911562600049741193";"2014";"8";"yes";"territory";"0";"metro";"map";"NA";"accessibility";"Netherlands";"geography";;;
"Trading between land use and transportation planning: the Kuopio model";"697217264262062284";"2013";"8";"hs";;;;;;;;"planning";;;
" The Difficult Relationship between Land Use Planning and Transport Planning: Evidences from the City of Turin, Italy";"3933277355105472665";"2011";"7";"hs";;;;;;;;"planning";;;
"Co-evolution of density and topology in a simple model of city formation";"5911724637352669367";;"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"physics";;;
" Transport et développement des territoires";"10442182600286982584";;"3";"review";;;;;;;;"transportation";;;
"A multi-paradigm approach to system dynamics modeling of intercity transportation";"1503214211433720259";"2014";"12";"hs";;;;;;;;"transportation";;;
"Integrated land use and transportation interaction: a temporal GIS exploratory data analysis approach";"12472562146627614890";"2003";"7";"no";;;;;;;;"geography";;"no application";
" Injecting a rapid rail link into a metropolis";"15543094506723780834";"2010";"11";"no";;;;;;;;"planning";;;
"Modélisation de la dynamique des systèmes de peuplement: de SimpopLocal à SimpopNet.";"4314943395653192320";"2014";"5";"yes";"strong";"200";"country";"sim";"no";"coevolution";;"geography";;;
"Calibration of an integrated land-use and transportation model using maximum-likelihood estimation";"9299535133961645220";"2014";"7";"hs";;;;;;;;"computer science";;"calibration algo";
"Assessing the impacts of Light Rail Transit on urban land in Manila";"4840737556316235848";"2010";"8";"yes";"territory";"0";"local";"stat";"NA";"accessibility";"Manila";"transportation";;;
"Viewpoint: Toward a new generation of land use transport interaction models";"15723813718667706986";"2015";"7";"no";;;;;;;;"transportation";;;
" An investigation into the economic impacts on cities of investment in light rail systems";"10079022345894618592";"2014";"2";"no";;;;;;;;"economics";;;
" Transport link scanner: simulating geographic transport network expansion through individual investments";"4395795512842304969";"2016";"12";"yes";"network";"100";"country";"sim";"no";"network growth";"Netherlands";"geography";;;
"Integrated co-evolution model of land use and traffic network design";"2602998652949126134";"2016";"12";"yes";"strong";"NA";"metro";"sim";"no";"coevolution";;"economics";;;
"The coevolution of transport and land use: An introduction to the Special Issue and an outline of a research agenda";"16412613606761088373";"2011";"12";"no";;;;;;;;"transportation";;;
"The impact of railway station development on urban dynamics: A review of the Amsterdam South Axis project";"5072748012109513834";"2009";"11";"no";;;;;;;;"economics";;;
"Land Use-Transportation Interaction: Lessons Learned from an Experimental Model using Cellular Automata and Artificial Neural Networks";"5034596443416444562";"2008";"7";"yes";"territory";"15";"metro";"sim";"no";"luti";"US";"geography";;;
