"TITLE";"ID";"YEAR";"CITCOM";"MODEL";"TYPE";"TEMPSCALE";"SPATSCALE";"METHODO";"EQU";"THEME";"CASE";"DISCIPLINE";"PROCESSES";"OBSERVATION";"LINK";"INTERDISC";"SEMCOM"
" A model of road network and buildings extension co-evolution";"14739715137994834697";2014;"Networks";"yes";"strong";NA;"local";"sim,ca";"no";"coevolution";"";"computer science";"";"";"";0.552268244575937;"networks"
"Evaluating transport externalities of urban growth: a critical review of scenario-based planning methods";"11057429637195491539";2016;"LUTI";"no";"";NA;"";"";"";"";"";"planning";"model assessment";"";"";0.534660145049755;"networks"
"Rail system development and urban transformations: Towards a spatial decision support system";"7608690871700860183";2008;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Heuristic urban transportation network design method, a multilayer coevolution approach";"9433653206824619514";2017;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"physics";"multiscalar network effects";"coevolution between layers";"";0.726153846153846;"networks"
" Amarrer le développement urbain aux infrastructures de transport publics: examen comparatif des politiques locales de quatre agglomérations suisses";"9544277750994587809";2009;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" Desserte ferroviaire à grande vitesse, activation des ressources spécifiques et développement du tourisme: le cas de l'agglomération rémoise";"14900532297166432212";2010;"Infra Planning";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Mathematics and morphogenesis of cities: A geometrical approach";"11819818561854891580";2011;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"physics";"local optimization";"";"";0.65722615576843;"networks"
"Le réseau autoroutier français: un outil rapidement valorisé, des effets controversés";"9388458379846447123";1997;"Infra Planning";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
" Elementary processes governing the evolution of road networks";"3086518878428601412";2012;"Networks";"yes";"network";200;"metro";"stat";NA;"network measures";"";"physics";"top-down network planning";"";"";0.489151873767258;"networks"
"The evolution and planning of hierarchical transport networks";"15548407300627151288";2014;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"Naples";"physics";"hierarchy";"";"";0.635102040816327;"networks"
"La planification métropolitaine et le transit-oriented development (TOD): les nouveaux instruments de la gouvernance du Grand Montréal";"16767933415430308127";2016;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Transportation implications of metropolitan spatial planning in mega-city Beijing";"16645999085681599203";2009;"LUTI";"hs";"";NA;"";"";"";"";"";"planning";"";"";"";0.69103129594623;"infra planning"
"Measuring TOD around transit nodes-Towards TOD policy";"2461466985030055448";2017;"TOD";"yes";"territory";NA;"local";"stat";NA;"tod";"Netherlands";"transportation";"";"";"";0.644965424186204;"tod"
"Growth Patterns of Subway/Metro Systems Tracked by Degree Correlation";"4196851619316729988";2012;"Networks";"yes";"network";NA;"metro";"stat";"no";"network growth";"";"physics";"correlation";"";"";NA;NA
" Developing a Tool for Evaluating Land Use-Transport Integration";"5135111128672754351";NA;"Accessibility";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" Impacts on Land Use Characteristics from Fixed Link Projects: Four Case Studies from Norway";"12319656594235031992";2016;"LUTI";"yes";"territory";0;"metro";"stat";NA;"accessibility";"Norway";"transportation";"";"";"";0.674513354459031;"networks"
"Can we integrate land-use and transport planning? An investigation into the use of travel planning in regulation";"2508096719201861342";2015;"LUTI";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" Generative network models for simulating urban networks, the case of inter-city transport network in Southeast Asia";"1727240970915573682";2016;"Networks";"yes";"network";0;"continent";"sim";"no";"urban system";"South-East Asia";"geography";"cities interactions";"";"";NA;NA
"The organizational learning of a new realtion between road projets planning and territory stakeholders: the case of the Quebec ministry of tranportation";"10902935719250740304";2008;"Geography";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
" Accessibility Planning tools for sustainable and integrated Land Use/Transport (LUT) development: an application to Rome";"7106520131778669231";2013;"Accessibility";"yes";"territory";0;"metro";"stat";NA;"accessibility";"Roma";"planning";"";"";"";0.504444444444444;"tod"
"Shape grammars overview and assessment for transport and urban design: Review, terminology, assessment, and application";"803086432938124946";2016;"Networks";"yes";"network";0;"metro";"sim";"no";"shape grammar";"";"planning";"";"";"";NA;NA
" De l'évaluation de l'effet structurant d'un projet urbain à l'analyse des congruences entre stratégies d'acteurs: le réaménagement du Vieux-Port de …";"13524558818340642580";2003;"Infra Planning";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Injecting a rapid rail link into a metropolis";"12888682099709140912";2009;"LUTI";"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.728163265306123;"hedonic"
" Le mythe du développement économique induit par les grandes infrastructures de transports";"10856658103118340902";2002;NA;"no";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
"Accessibility and territorial cohesion in a case of transport infrastructure improvements with changing population distributions";"7376709710337748824";2016;"LUTI";"yes";"territory";0;"continent";"stat";NA;"accessibility";"East Europa";"transportation";"";"";"";0.59375;"tod"
"Exploring the relationship between street centrality and land use in Stockholm";"14186537126402816131";2014;"Networks";"yes";"territory";0;"metro";"stat";NA;"network analysis";"Stockholm";"geography";"centrality";"";"";0.673885880882965;"networks"
"The effects of the high-speed railway on urban development: International experience and potential implications for China";"13868211247859932084";2015;"TOD";"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.582726326742976;"tod"
" Benchmarking Public Transport and Land Use Integration in Melbourne and Hamburg: Hints for Policy Makers";"17672215516746545062";2009;"TOD";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Cities and highway networks in Europe";"8195558924340493347";1996;"Accessibility";"yes";"territory";0;"continent";"stat";NA;"accessibility";"Europe";"geography";"";"";"";0.741973840665874;"tod"
" Urban growth modeling based on land-use changes and road network expansion";"8911748967759297223";2013;"Networks";"yes";"strong";NA;"metro";"sim";"no";"coevolution";"Toronto";"geography";"";"";"";NA;NA
"Measuring one century of railway accessibility and population change in France. A historical GIS approach";"7622033396544392224";2016;"LUTI";"yes";"territory";0;"country";"stat";NA;"accessibility";"France";"geography";"";"";"";NA;NA
"A design framework for measuring transit oriented development";"445792216820660267";2012;"TOD";"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.548907388137357;"tod"
"The first rapid tram line in Poland: How has it affected travel behaviours, housing choices and satisfaction, and apartment prices?";"10078298850924605114";2016;NA;"yes";"territory";0;"local";"stat";NA;"housing market";"Poland";"geography";"";"";"";0.7542690545606;"hsr"
"Road accessibility and articulation of metropolitan spatial structures: the case of Madrid (Spain)";"12899701503277395253";2014;"Accessibility";"yes";"territory";0;"metro";"map";NA;"accessibility";"Madrid";"geography";"";"";"";0.72189349112426;"tod"
"Transport Infrastructure and Economic Development: which appropriation dynamics by productive actors? The example of the grain industry around the Seine-Nord …";"16637072282439359652";2013;"Infra Planning";"no";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
"Assessment of the real estate benefits due to accessibility gains brought by a transport project: the impacts of a light rail infrastructure improvement in the Hauts-de- …";"14886177128541959623";2008;"Infra Planning";"yes";"territory";0;"local";"stat";NA;"housing market";"Paris, T2";"economics";"";"";"";NA;NA
" Les Contrats de développement territorial (CDT) du Grand Paris: une négociation multi-échelles de l'articulation urbanisme-transport?";"8740454109057095118";2013;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" Exploring the patterns and evolution of self-organized urban street networks through modeling";"10255964865764430406";2013;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"physics";"local optimization,local geometry,topology";"";"";NA;NA
"Modeling the Effects of Transportation Patterns on Land Use Patterns of Tehran City.";"9518089914377834733";2013;"LUTI";"yes";"territory";0;"metro";"stat";NA;"land use";"Teheran";"planning";"";"";"";NA;NA
" The local economic impacts of high-speed railways: theories and facts";"12366312687492587951";2017;"Infra Planning";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
" La contribution des infrastructures au développement des régions françaises";"12345915354692581373";1999;"Geography";"yes";"territory";0;"region";"stat";NA;"infrastructure";"France";"economics";"";"";"";NA;NA
" Analyse des relations transports/évolution de la banlieue dense de paris";"2101423446043485986";2010;"Infra Planning";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Measuring the effect of transportation infrastructure on retail firm co-location patterns";"8280771800704141276";2016;NA;"yes";"territory";0;"metro";"stat,eq";NA;"infrastructure";"";"economics";"";"";"";0.66390306122449;"hsr"
"On the spatiotemporal dynamics of the coupling between land use and road networks: does political history matter?";"16479176245494201907";2015;"LUTI";"yes";"territory";50;"region";"stat";NA;"network analysis";"Italy";"geography";"political history";"";"";0.60966316110349;"networks"
" Transport matters: integrated approaches to planning city-regions";"14333326070268278875";2010;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" L'approche des relations entre infrastructures et territoires: retours sur la théorie et les méthodes";"2436229954033414021";NA;"Infra Planning";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" Coordonner transports et urbanisme";"12823766073675392003";2003;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Accessibility appraisal of integrated land-use—transport strategies: methodology and case study for the Netherlands Randstad Area";"7690021570706365887";2006;"Accessibility";"yes";"territory";35;"local";"stat";NA;"accessibility";"Netherlands";"planning";"";"";"";0.651147959183673;"tod"
"Evidences of communicating vessels principle in an integrated land-use and transport modeling application";"3787537872016820793";2016;"LUTI";"yes";"territory";NA;"metro";"sim";"no";"luti";"";"planning";"";"";"";NA;NA
" Dessertes ferroviaires à grande vitesse et dynamiques locales: une analyse comparée de la littérature";"18052422388088318887";NA;"Infra Planning";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Hysteresis and urban rail: The effects of past urban rail on current residential and travel choices";"14081854133547226397";2012;"Networks";"yes";"territory";150;"metro";"stat";NA;"history";"Boston";"transportation";"";"";"";NA;NA
" Impact of high-speed railway accessibility on the location choices of office establishments";"11621380524756347661";2006;"TOD";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
" Urban Road Network Evolution to Maximize the Capacity";"12516749824028037592";2014;"Networks";"yes";"network";NA;"metro";"sim";"no";"nework growth";"";"physics";"investment,network capacity";"";"";0.41934496479951;"networks"
"20 Co-evolutionary dynamics of ports and cities in the global maritime network, 1950–90";"1094095821803938537";2015;"Networks";"hs";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Accessibility in cities: transport and urban form";"12885554056401383465";2017;"LUTI";"yes";"territory";0;"metro";"stat";NA;"accessibility";"";"economics";"";"";"";0.764172335600907;"networks"
"Development of a virtual city model for urban land use and transport planning";"10316589728495760672";2016;"LUTI";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Time Evolution of Road Networks";"6724452877162375479";2015;"Networks";"no";"";NA;"";"";"";"";"";"physics";"";"";"";0.524691358024691;"networks"
" L'évolution des marchés immobiliers résidentiels dans l'aire urbaine de Reims: un effet de la Ligne à Grande Vitesse Est-européenne?";"15137179612344278716";2007;"LUTI";"no";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
" Les nouvelles gares TGV périphériques: des instruments au service du développement économique des territoires?";"12958578885756122534";2012;"Infra Planning";"no";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
"Introduction to the special issue on the evolution of transportation network infrastructure";"14782048312595880386";2009;"Networks";"no";"";NA;"";"";"";"";"";"economics";"";"";"";0.683673469387755;"networks"
" Land use around metro stations: A case study";"13721683633893541767";2012;"LUTI";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Accessibility impacts of tod experiences in European metropolitan areas";"3849280211612921884";2014;"Accessibility";"yes";"territory";0;"metro";"stat";NA;"accessibility";"";"planning";"";"";"";NA;NA
"Forecasting Transportation Network Evolution and Performance under Existing and Alternative Transportation Planning Processes";"953634491880055155";2011;"Networks";"yes";"network";NA;"metro";"mas";"no";"nework growth";"US";"transportation";"investment,governance level";"";"";NA;NA
" Measuring Transit Oriented Development";"5419623782940175896";2013;"TOD";"yes";"territory";0;"region";"stat";NA;"accessibility";"Netherlands";"geography";"";"";"";NA;NA
"A network governance approach to transit-oriented development: Integrating urban transport and land use policies in Urumqi, China";"9284884965506661913";2016;"TOD";"no";"";NA;"";"";"";"";"";"transportation";"transportation governance";"";"";0.363082839288576;"tod"
" De l'impact du TGV sur deux quartiers de gare: Nancy Grand Coeur et Metz Amphithéâtre";"8014623785041430436";2010;"Infra Planning";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"The Spatial Effects of High Speed Rail on Intermediate Cities in China–A Case Study of Beijing-Shanghai Express Railway";"13272499523585687676";2014;"TOD";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Development of rail infrastructure and its impact on urbanization in the Randstad, the Netherlands";"9380287044365237791";2015;"LUTI";"yes";"strong";160;"region";"stat";NA;"coevolution";"Randstad";"transportation";"";"";"";NA;NA
" Validation of a microscopic model for spatial economic effects of transport infrastructure";"10246938733795535598";2007;NA;"yes";"territory";25;"metro";"mas";"no";"microeconomics";"Netherlands";"transportation";"firm relocation";"";"";NA;NA
"Topological evolution of surface transportation networks";"15049090676952779807";2009;"Networks";"yes";"network";100;"region";"sim";"no";"nework growth";"Indiana";"economics";"";"";"";0.552169898430286;"networks"
"Population-driven urban road evolution dynamic model";"10072997421255555785";2016;"Networks";"yes";"network";NA;"metro";"sim";"no";"nework growth";"";"economics";"Population-driven network growth";"";"";NA;NA
"Lignes ferroviaires à grande vitesse et dynamiques locales: une analyse comparée de la littérature";"16696467751522576373";2010;"Infra Planning";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
" Infrastructures de transport, densification et étalement urbains: quelques enseignements de l'expérience nantaise";"17998228171206049481";2007;"Infra Planning";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
" A temporal GIS for exploring land use and transportation interactions";"13511767142643578713";NA;"LUTI";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Modeling the growth of transportation networks: a comprehensive review";"15601704195970669873";2009;"Networks";"review";"";NA;"";"";"";"";"";"economics";"";"";"";0.575555555555556;"networks"
"Understanding road network dynamics: Link-based topological patterns";"8547422887510478727";2015;"Networks";"hs";"";NA;"";"";"";"";"";"geography";"";"";"";0.610169491525424;"networks"
"Les gares TGV dans les zones périurbaines des villes moyennes sont-elles des vecteurs de métropolisation?";"2329873677295852805";2012;"Infra Planning";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
" Exploring land use and transport interaction through structural equation modelling";"15105548367120422804";2012;"LUTI";"yes";"territory";0;"metro";"sem";NA;"stat";"";"transportation";"";"";"";0.67578125;"tod"
" Functional-spatial sustainability potentials of integrated infrastructure planning";"13530799405573833349";2012;"TOD";"no";"";NA;"";"";"";"";"";"transportation";"multi-level governance";"";"";0.635208220659816;"tod"
"Modeling evolutionary network of Shanghai urban subway";"8390963711564537568";2013;"Networks";"yes";"network";NA;"metro";"stat";NA;"network analysis";"Shanghai";"engineering";"";"";"";NA;NA
" Impacts on land use characteristics from ferry replacement projects. Two case studies from Norway";"9347079883600562795";2015;"LUTI";"yes";"territory";0;"region";"stat";NA;"accessibility";"Norway";"transportation";"";"";"";0.747654320987654;"networks"
"Emergence of hierarchy in cost-driven growth of spatial networks";"10466953992640710718";2013;"Networks";"yes";"network";NA;"region";"sim";"no";"network growth";"";"physics";"";"";"";0.628071636817993;"networks"
"Urban growth modeling with road network expansion and land use development";"12650947384305951979";2011;"LUTI";"yes";"strong";NA;"metro";"sim";"no";"coevolution";"";"geography";"";"";"";0.553719008264463;"networks"
"A model of the rise and fall of roads";"12450184136848850546";2016;"Networks";"yes";"network";30;"metro";"sim";"no";"nework growth";"Twin Cities";"economics";"";"";"";0.703152885187388;"networks"
"Spatio-temporal forecasting of network data";"3601196884232352607";2014;"Networks";"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Assessing High-Speed Rail's impacts on land cover change in large urban areas based on spatial mixed logit methods: a case study of Madrid Atocha railway station …";"4131658970777699342";2014;"Accessibility";"yes";"territory";20;"metro";"stat";NA;"accessibility";"Madrid";"geography";"";"";"";NA;NA
"City expansion model based on population diffusion and road growth";"16345815595110240774";2017;"Networks";"yes";"strong";NA;"metro";"ca,sim";"no";"coevolution";"Beijing";"transportation";"";"";"";0.581728395061728;"networks"
"High-speed rail's impact on the location of office employment within the Dutch Randstad Area";"8248154335477891105";2005;NA;"yes";"territory";0;"metro";"stat";NA;"hsr";"Randstad";"economics";"";"";"";NA;NA
"STUDI: a model to simulate the impacts of new metro lines on urban development in London";"2594962844150527673";2010;NA;"yes";"territory";20;"metro";"sim";"no";"luti";"London";"planning";"";"";"";NA;NA
" Les stratégies d'anticipation des «effets» territoriaux des grands équipements de transport: le cas du TGV Rhin-Rhône";"6403245246114331635";2013;"Infra Planning";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"The impact of transport on residential location";"10500191054399019184";2003;"LUTI";"yes";"territory";0;"metro";"stat";NA;"housing market";"Oxford";"economics";"";"";"";NA;NA
"Quantifying the economic and demographic impact of transportation infrastructure investments: A simulation study";"9309297609623551020";2016;"Accessibility";"yes";"territory";10;"region";"sd";"no";"luti";"Virginia";"engineering";"";"";"";NA;NA
" Simulating infrastructure networks in the Yangtze River Delta (China) using generative urban network models";"6325732133565702628";2016;"Networks";"yes";"network";0;"region";"sim";"no";"nework growth";"Yangtze";"geography";"";"";"";NA;NA
"Computational Modeling of Networked Infrastructures: Macroscopic Multivariate Approach";"6226271279826913185";2016;"Networks";"hs";"";NA;"";"";"";"";"";"engineering";"";"";"";NA;NA
"Balancing building and maintenance costs in growing transport networks";"5976460068571547857";2016;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"physics";"network maintenance";"";"";0.482103725346969;"networks"
"Proximité aux infrastructures et croissance de l'emploi en Île-de-France (1993–2008): le rôle des transports à l'échelle intramétropolitaine";"14436183171925967523";2012;"Infra Planning";"yes";"territory";15;"metro";"stat";NA;"infrastructure";"Paris";"transportation";"";"";"";NA;NA
" Analyser les mobilités et le rayonnement des villes pour révéler les effets territoriaux des grandes infrastructures de transport";"13700207924043005873";1998;"Infra Planning";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
" Land use and transport interaction";"4601203362291315402";2015;"LUTI";"review";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" Transport and land use interaction: A French case of suburban development in the Lille Metropolitan Area (LMA)";"14281071046327149112";2014;"LUTI";"no";"";NA;"";"";"";"";"";"geography";"";"";"";0.688684556201914;"tod"
"Integrating land-use and transport infrastructure planning: towards adaptive and sustainable transport infrastructure";"5608357364609047162";2014;"TOD";"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.627218934911243;"tod"
"Estimation and validation of a microscopic model for spatial economic effects of transport infrastructure";"13098463390129995760";2009;NA;"yes";"territory";15;"region";"sim";"no";"microeconomics";"Randstad";"economics";"";"";"";0.684931506849315;"tod"
"Grande vitesse ferroviaire et développement économique local: une revue de la littérature";"7525631845009811949";2011;"Infra Planning";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Land-use transport interaction models";"16129325634725850094";2014;"LUTI";"review";"";NA;"";"";"";"";"";"planning";"";"";"";0.603806228373702;"tod"
"Fitting Planar Proximity Graphs on Real Street Networks";"9039878276619336605";2016;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"physics";"";"";"";NA;NA
" Patterns and grammars for transport network generation";"9665071086377166905";2010;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"transportation";"";"";"";0.425396825396825;"networks"
"Space evolution model and empirical analysis of an urban public transport network";"7045171621225464890";2012;"Networks";"yes";"network";0;"metro";"sim";"no";"network growth";"China";"physics";"";"";"";0.591604938271605;"networks"
"Analysis on evolving model with modular growth of urban roadway network topology structure";"5000116661849661568";2015;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"transportation";"";"";"";0.504930606281958;"complex networks"
"Models of transportation and land use change: a guide to the territory";"5191349362201911636";2008;"LUTI";"review";"";NA;"";"";"";"";"";"planning";"";"";"";0.666666666666667;"tod"
" The structuring effects of transport infrastructure";"15876443439074491379";NA;"Infra Planning";"review";"";NA;"";"";"";"";"";"geography";"";"special issue l'Espace Geo";"";NA;NA
"Bi-level cellular agent-based model: Simulation of potential impacts of high-speed rail on land cover change in the Lisbon Metropolitan Area, Portugal";"1534774004977570803";2015;"Accessibility";"yes";"territory";20;"metro";"mas";"no";"hsr";"Lisbon";"transportation";"";"";"";NA;NA
" Ligne à Grande Vitesse et marchés immobiliers résidentiels à Reims: entre attractivité, aménités et anticipations";"1681166553113938354";2010;"Infra Planning";"no";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
" Réseau routier national et développement économique régional: une approche par fonction de production revisitée";"9351699538187187490";2008;"Infra Planning";"yes";"territory";0;"country";"stat";NA;"economic growth";"France";"economics";"";"";"";NA;NA
"Croissance et décroissance des réseaux";"5482910779522545809";2014;NA;"review";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Les villes dans l'espace-temps: vitesse des communications et structuration des territoires à l'échelle intra et interurbaine";"12578422881285893687";2005;NA;"no";"";NA;"";"";"";"";"";"geography";"";"";"";1;NA
"Should any new light rail line provide real estate gains, or not? The case of the T3 line in Paris";"8196681432737851317";2015;"LUTI";"yes";"territory";0;"local";"stat";NA;"housing market";"Paris, T3";"economics";"";"";"";0.666666666666667;"infra planning"
"Long-term impacts of transport infrastructure networks on land-use change: an international review of empirical studies";"1821937939085780479";2016;"LUTI";"review";"";NA;"";"";"";"";"";"transportation";"";"";"";0.746446280991736;"networks"
"The co-evolution of land use and road networks";"4920442333449600615";NA;"Networks";"yes";"strong";NA;"metro";"sim";"no";"coevolution";"";"economics";"";"";"";0.5624;"networks"
"Rail-based public transport and urban spatial structure: The interplay between network design, congestion and urban form";"1657458344343870183";2015;"TOD";"yes";"territory";NA;"region";"eq";"yes";"tod";"";"economics";"";"";"";0.779835390946502;"hedonic"
" Structure and dynamics of transportation networks: Models";"4529244200457214506";2013;"Networks";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
" Development of an integrated transport-land use model for the activities relocation in urban areas";"9738981332437076638";2014;"LUTI";"yes";"territory";NA;"metro";"sim";"no";"luti";"Roma";"transportation";"";"";"";0.64;"tod"
"Population change and accessibility by road and rail networks: GIS and statistical approach to Finland 1970–2007";"13330779955118745051";2011;"Accessibility";"yes";"territory";35;"country";"stat";NA;"accessibility";"Finland";"geography";"";"";"";0.665897731641676;"networks"
" Modélisation de l'interaction transport-urbanisme-choix résidentiels des ménages dans l'aire urbaine de Lyon";"5605752058287937946";2009;"LUTI";"yes";"territory";NA;"metro";"stat";NA;"luti";"Lyon";"economics";"";"";"";0.5;"tod"
"Contribution de la future ligne ferroviaire à grande vitesse Tours-Bordeaux au développement des réseaux des villes, une évaluation par le potentiel de contact";"11533753142801840067";2014;"Infra Planning";"yes";"territory";0;"continent";"map";NA;"hsr";"Europe";"geography";"";"";"";NA;NA
"Spatial economic impacts of transport infrastructure supply";"9341831984796026101";1994;NA;"review";"";NA;"";"";"";"";"";"transportation";"";"";"";0.548469387755102;"tod"
" Le rôle des grandes infrastructures dans la structuration des espaces régionaux: le cas de l'arrivée du TGV dans le réseau métropolitain Rhin-Rhône";"14649896289701474616";2010;"Infra Planning";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
" A tool for evaluating urban sustainability via integrated transportation and land use simulation models";"6321073651892093498";2009;"LUTI";"yes";"territory";NA;"metro";"sim";"no";"luti";"Canada";"geography";"";"";"";0.4609375;"tod"
"The integrated land use and transportation indexing model: assessing the sustainability of the Gold Coast, Australia";"6440169709286967754";2012;"LUTI";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"High speed Rail service and local economic development, a review";"16093197702627847070";2010;"Infra Planning";"review";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
"An empirical analysis of the relationship between road development and residential land development";"10458511107152517781";2005;NA;"yes";"strong";25;"metro";"stat";NA;"causal stats";"Canada";"economics";"";"";"";NA;NA
"Does the tunnel effect still remains in 2016?";"10738864039748889406";2016;NA;"no";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
"Transport infrastructures and employment growth in the Paris metropolitan margins";"6584762621142783847";2013;"Infra Planning";"yes";"territory";25;"metro";"stat";NA;"economic growth";"Paris";"geography";"";"";"";0.753968253968254;"networks"
" Towards an Agent-based, Integrated Land-use Transport Modeling System";"6652958539764071087";2016;"LUTI";"yes";"territory";NA;"region";"sim";"no";"luti";"US";"transportation";"";"";"";0.584489795918367;"tod"
" Interaction of rail infrastructure and urbanisation in the Netherlands; a preliminary analysis";"15413807339531757372";NA;"LUTI";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Un scénario tod pour la région nord-pas-de-calais. Enseignements d'une modélisation intégrée transport-usage du sol";"15529062511553929860";2014;"LUTI";"yes";"territory";NA;"region";"sim";"no";"luti";"Nord";"planning";"";"";"";NA;NA
"Distributive effects of new highway infrastructure in the Netherlands: the role of network effects and spatial spillovers";"911562600049741193";2014;"Accessibility";"yes";"territory";0;"metro";"map";NA;"accessibility";"Netherlands";"geography";"";"";"";0.727610052285377;"tod"
"Trading between land use and transportation planning: the Kuopio model";"697217264262062284";2013;"Accessibility";"hs";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" The Difficult Relationship between Land Use Planning and Transport Planning: Evidences from the City of Turin, Italy";"3933277355105472665";2011;"LUTI";"hs";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Co-evolution of density and topology in a simple model of city formation";"5911724637352669367";NA;"Networks";"yes";"network";NA;"metro";"sim";"no";"network growth";"";"physics";"";"";"";0.475206611570248;"networks"
" Transport et développement des territoires";"10442182600286982584";NA;"Infra Planning";"review";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"A multi-paradigm approach to system dynamics modeling of intercity transportation";"1503214211433720259";2014;"Networks";"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.689349112426035;"networks"
"Integrated land use and transportation interaction: a temporal GIS exploratory data analysis approach";"12472562146627614890";2003;"LUTI";"no";"";NA;"";"";"";"";"";"geography";"";"no application";"";0.625185185185185;"tod"
" Injecting a rapid rail link into a metropolis";"15543094506723780834";2010;"TOD";"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.728163265306123;"hedonic"
"Modélisation de la dynamique des systèmes de peuplement: de SimpopLocal à SimpopNet.";"4314943395653192320";2014;NA;"yes";"strong";200;"country";"sim";"no";"coevolution";"";"geography";"";"";"";NA;NA
"Calibration of an integrated land-use and transportation model using maximum-likelihood estimation";"9299535133961645220";2014;"LUTI";"hs";"";NA;"";"";"";"";"";"computer science";"";"calibration algo";"";0.518117451062057;"tod"
"Assessing the impacts of Light Rail Transit on urban land in Manila";"4840737556316235848";2010;"Accessibility";"yes";"territory";0;"local";"stat";NA;"accessibility";"Manila";"transportation";"";"";"";0.730489073881374;"hedonic"
"Viewpoint: Toward a new generation of land use transport interaction models";"15723813718667706986";2015;"LUTI";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";0.553199474573091;"tod"
" An investigation into the economic impacts on cities of investment in light rail systems";"10079022345894618592";2014;NA;"no";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
" Transport link scanner: simulating geographic transport network expansion through individual investments";"4395795512842304969";2016;"Networks";"yes";"network";100;"country";"sim";"no";"network growth";"Netherlands";"geography";"";"";"";0.77277970011534;"networks"
